0 4.2082 4.0974 4.1301
1 4.2079 4.0989 4.1299
2 4.2075 4.0946 4.1299
3 4.2073 4.0890 4.1296
4 1.0086 4.5268 1.0536
5 1.0086 4.5268 1.0536
6 4.2060 4.0911 4.1292
7 4.2056 4.0758 4.1289
8 4.2052 4.0918 4.1289
10 4.2049 4.0883 4.1285
11 4.2045 4.0846 4.1283
12 4.2043 4.0825 4.1283
13 4.2039 4.0754 4.1281
14 4.2035 4.0793 4.1278
15 4.2034 4.0385 4.1276
16 4.2030 4.1002 4.1274
17 4.2026 4.0995 4.1272
18 4.2024 4.0928 4.1270
19 4.2022 4.0913 4.1268
20 4.2017 4.0864 4.1267
21 4.2015 4.0806 4.1263
22 4.2009 4.0233 4.1259
23 4.2007 4.0732 4.1256
24 4.2003 4.0799 4.1254
25 4.2002 4.0715 4.1252
26 4.1998 4.0696 4.1250
27 4.1994 4.0691 4.1248
28 4.1992 4.0672 4.1247
29 4.1988 4.0640 4.1245
30 4.1985 4.0741 4.1243
31 4.1983 4.0805 4.1243
32 4.1979 4.0726 4.1241
33 4.1975 4.0806 4.1241
34 4.1973 4.0842 4.1236
35 4.1971 4.0879 4.1236
36 4.1968 4.0971 4.1234
37 4.1964 4.1015 4.1234
38 4.1962 4.0952 4.1230
39 4.1958 4.1019 4.1228
40 4.1955 4.1034 4.1226
41 4.1953 4.1014 4.1225
42 4.1947 4.0995 4.1225
43 4.1945 4.1014 4.1223
44 4.1941 4.1023 4.1217
45 4.1938 4.1058 4.1216
46 4.1936 4.1071 4.1216
47 4.1932 4.1090 4.1212
48 4.1928 4.1090 4.1210
49 4.1928 4.1049 4.1210
50 4.1921 4.1083 4.1205
51 4.1919 4.1034 4.1205
52 4.1915 4.1045 4.1201
53 4.1913 4.1079 4.1201
54 4.1909 4.1092 4.1199
55 4.1908 4.1081 4.1195
56 4.1904 4.1058 4.1195
57 4.1902 4.1066 4.1194
58 4.1900 4.1023 4.1192
59 4.1896 4.1010 4.1190
60 4.1894 4.0989 4.1188
61 4.1891 4.0978 4.1184
62 4.1889 4.0984 4.1186
63 4.1887 4.1045 4.1183
64 4.1883 4.0993 4.1181
65 4.1879 4.1014 4.1179
66 4.1877 4.1001 4.1179
67 4.1876 4.1023 4.1174
68 4.1872 4.0999 4.1175
69 4.1866 4.1004 4.1170
71 4.1864 4.1004 4.1170
72 4.1862 4.1021 4.1168
73 4.1861 4.1036 4.1166
74 4.1857 4.0995 4.1163
75 4.1855 4.1021 4.1163
76 4.1853 4.1038 4.1157
77 4.1849 4.1029 4.1157
78 4.1847 4.0993 4.1155
79 4.1844 4.1038 4.1153
80 4.1842 4.1029 4.1152
81 4.1840 4.1002 4.1152
82 4.1838 4.1002 4.1150
83 4.1834 4.0987 4.1148
84 4.1834 4.0989 4.1139
85 4.1832 4.0984 4.1130
86 4.1830 4.1002 4.1130
87 4.1827 4.0991 4.1126
88 4.1823 4.0991 4.1128
89 4.1823 4.1008 4.1124
90 4.1819 4.0986 4.1124
91 4.1815 4.0952 4.1122
92 4.1814 4.0943 4.1122
93 4.1810 4.0961 4.1121
94 4.1808 4.0959 4.1115
95 4.1808 4.0974 4.1113
96 4.1804 4.0991 4.1113
97 4.1802 4.0991 4.1110
98 4.1800 4.1008 4.1106
99 4.1797 4.1004 4.1101
100 4.1795 4.0989 4.1099
101 4.1793 4.0952 4.1097
102 4.1791 4.0958 4.1097
103 4.1789 4.0961 4.1093
104 4.1785 4.0991 4.1093
105 4.1782 4.0984 4.1090
106 4.1780 4.1021 4.1090
107 4.1778 4.1010 4.1086
108 4.1776 4.1030 4.1086
109 4.1774 4.1029 4.1082
110 4.1772 4.1042 4.1080
111 4.1770 4.1047 4.1064
112 4.1770 4.1070 4.1062
113 4.1765 4.1122 4.1060
114 4.1763 4.1098 4.1060
115 4.1763 4.1129 4.1057
116 4.1761 4.1114 4.1055
117 4.1757 4.1116 4.1051
118 4.1757 4.1083 4.1051
119 4.1753 4.1101 4.1049
120 4.1752 4.1114 4.1048
121 4.1750 4.1101 4.1048
122 4.1748 4.1109 4.1044
123 4.1746 4.1114 4.1044
125 4.1744 4.1092 4.1040
126 4.1742 4.1113 4.1040
127 4.1740 4.1116 4.1037
128 4.1738 4.1092 4.1037
129 4.1736 4.1064 4.1033
130 4.1735 4.1068 4.1031
131 4.1733 4.1092 4.1029
132 4.1731 4.1057 4.1029
133 4.1729 4.1105 4.1028
134 4.1727 4.1120 4.1028
135 4.1725 4.1103 4.1028
136 4.1723 4.1086 4.1022
137 4.1721 4.1094 4.1022
138 4.1716 4.1075 4.1020
139 4.1718 4.1197 4.1020
140 4.1718 4.1062 4.1017
141 4.1714 4.1086 4.1013
142 4.1706 4.1155 4.1017
143 4.1708 4.1191 4.1018
144 4.1714 4.1126 4.1015
145 4.1706 4.1092 4.1015
146 4.1705 4.1021 4.1013
147 4.1703 4.1015 4.1013
148 4.1701 4.1025 4.1011
149 4.1699 4.0991 4.1011
150 4.1697 4.0984 4.1009
151 4.1697 4.1010 4.1007
152 4.1693 4.1008 4.1007
153 4.1693 4.1014 4.1007
154 4.1691 4.0997 4.1006
155 4.1689 4.0973 4.1002
156 4.1686 4.0967 4.1004
157 4.1684 4.0946 4.0996
158 4.1684 4.0958 4.0996
159 4.1680 4.0965 4.0993
160 4.1678 4.0978 4.0989
161 4.1676 4.0980 4.0991
162 4.1674 4.0997 4.0987
163 4.1674 4.1008 4.0989
164 4.1674 4.0980 4.0986
165 4.1671 4.0967 4.0982
166 4.1669 4.0946 4.0982
167 4.1669 4.0928 4.0982
168 4.1667 4.0917 4.0982
169 4.1665 4.0939 4.0980
170 4.1663 4.0987 4.0980
171 4.1661 4.0995 4.0976
172 4.1659 4.0943 4.0976
173 4.1658 4.0935 4.0973
174 4.1658 4.0818 4.0975
175 4.1656 4.0304 4.0971
176 4.1654 4.0388 4.0969
177 4.1650 4.0429 4.0967
179 4.1650 4.0424 4.0969
180 4.1648 4.0663 4.0967
181 4.1648 4.0722 4.0967
182 4.1646 4.0694 4.0965
183 4.1646 4.0833 4.0964
184 4.1644 4.0825 4.0962
185 4.1642 4.0827 4.0960
186 4.1642 4.0842 4.0958
187 4.1641 4.0823 4.0958
188 4.1639 4.0834 4.0958
189 4.1637 4.0849 4.0955
190 4.1637 4.0868 4.0953
191 4.1635 4.0894 4.0951
192 4.1633 4.0926 4.0949
193 4.1631 4.0933 4.0947
194 4.1631 4.0924 4.0945
195 4.1629 4.0909 4.0945
196 4.1627 4.0717 4.0944
197 4.1626 4.0539 4.0940
198 4.1624 4.0864 4.0942
199 4.1624 4.0864 4.0938
200 4.1622 4.0862 4.0938
201 4.1620 4.0902 4.0934
202 4.1618 4.0872 4.0934
203 4.1616 4.0952 4.0931
204 4.1616 4.0945 4.0931
205 4.1614 4.0922 4.0929
206 4.1614 4.0945 4.0929
207 4.1611 4.0926 4.0927
208 4.1611 4.0911 4.0927
209 4.1609 4.0900 4.0925
